criterion;n_estimators;score;std
gini;10;0.714730545464;0.0024247598978
gini;50;0.72139520909;0.00125707303428
gini;100;0.722774575947;0.00104320184048
gini;200;0.723197945973;0.00124015495442
gini;500;0.723512059217;0.00101879636654
gini;1000;0.723430116632;0.00154724368221
entropy;10;0.71549534293;0.00267580542553
entropy;50;0.722979432411;0.0015253994547
entropy;100;0.72355303051;0.00129820332113
entropy;200;0.72389445795;0.00230925659799
entropy;500;0.724153942804;0.00250844438863
entropy;1000;0.724072000219;0.00223663045723
